,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
301,Sandeep Sharma,5,5,20.0,2,153,76.5,7.65,60.0,0,0,2022
302,Hrithik Shokeen,5,5,15.0,2,127,63.5,8.46,45.0,0,0,2022
303,Fazalhaq Farooqi,3,3,12.0,2,110,55.0,9.16,36.0,0,0,2022
304,Andrew Tye,3,3,11.0,2,107,53.5,9.72,33.0,0,0,2022
305,Varun Aaron,2,2,5.0,2,52,26.0,10.4,15.0,0,0,2022
306,Chris Jordan,4,4,12.5,2,135,67.5,10.51,38.5,0,0,2022
307,Darshan Nalkande,2,2,5.1,2,59,29.5,11.41,15.5,0,0,2022
308,David Willey,4,4,11.0,1,72,72.0,6.54,66.0,0,0,2022
309,Anukul Roy,2,2,7.0,1,55,55.0,7.85,42.0,0,0,2022
310,Mayank Markande,2,2,7.0,1,57,57.0,8.14,42.0,0,0,2022
311,Tushar Deshpande,2,2,7.0,1,63,63.0,9.0,42.0,0,0,2022
312,Kartik Tyagi,2,2,8.0,1,79,79.0,9.87,48.0,0,0,2022
313,Harshit Rana,2,2,5.0,1,51,51.0,10.2,30.0,0,0,2022
314,Aiden Markram,14,4,6.0,1,64,64.0,10.66,36.0,0,0,2022
315,Deepak Hooda,15,2,4.0,1,43,43.0,10.75,24.0,0,0,2022
316,Shreyas Gopal,1,1,3.0,1,34,34.0,11.33,18.0,0,0,2022
317,Fabian Allen,1,1,4.0,1,46,46.0,11.5,24.0,0,0,2022
318,Sean Abbott,1,1,4.0,1,47,47.0,11.75,24.0,0,0,2022
319,Riyan Parag,17,4,4.0,1,59,59.0,14.75,24.0,0,0,2022
320,Dewald Brevis,7,1,0.3,1,8,8.0,16.0,3.0,0,0,2022
321,Harshal Patel,15,15,56.0,32,459,14.34,8.14,10.56,1,1,2021
322,Avesh Khan,16,16,61.0,24,450,18.75,7.37,15.25,0,0,2021
323,Jasprit Bumrah,14,14,55.0,21,410,19.52,7.45,15.71,0,0,2021
324,Shardul Thakur,16,16,60.0,21,527,25.09,8.8,17.09,0,0,2021
